,model,truevals,predvals
0,XGBoost,0.1742,0.17612517
1,XGBoost,0.3472,0.2683633
2,XGBoost,0.2622,0.20300525
3,XGBoost,0.0902,0.14814147
4,XGBoost,0.2579,0.21014833
5,XGBoost,0.2599,0.27619794
6,XGBoost,0.0246,0.08550552
7,XGBoost,0.2669,0.24689534
8,XGBoost,0.1207,0.15208264
9,XGBoost,0.0055,0.08822396
10,XGBoost,0.5098,0.31311336
11,XGBoost,-0.012,-0.00088541926
12,XGBoost,0.7691,0.8210075
13,XGBoost,0.5229,0.53853476
14,XGBoost,0.3393,0.3066926
15,XGBoost,0.1309,0.1093432
16,XGBoost,0.172,0.14855605
17,XGBoost,0.0511,0.09049513
18,XGBoost,-0.0566,-0.06509358
19,XGBoost,0.6193,0.5952758
20,XGBoost,0.2788,0.1980712
21,XGBoost,0.3404,0.22190635
22,XGBoost,0.018,0.052672364
23,XGBoost,0.109,0.2581336
24,XGBoost,0.5985,0.64515716
25,XGBoost,0.216,0.28594384
26,XGBoost,0.0461,-0.002346688
27,XGBoost,0.4293,0.21094935
28,XGBoost,0.3765,0.32745212
29,XGBoost,0.7156,0.78762966
30,XGBoost,0.1617,0.17246759
31,XGBoost,0.0708,0.114520594
32,XGBoost,0.0481,0.04704887
33,XGBoost,0.452,0.34349158
34,XGBoost,-0.0023,-0.0120134745
35,XGBoost,0.5507,0.25851005
36,XGBoost,0.1282,0.08671178
37,XGBoost,0.082,0.09594021
38,XGBoost,0.4076,0.24131633
39,XGBoost,-0.0092,0.17588313
40,XGBoost,-0.1556,-0.20824511
41,XGBoost,0.7308,0.7937225
42,XGBoost,0.2341,0.15653269
43,XGBoost,0.679,-0.060723044
44,XGBoost,0.2077,0.27206054
45,XGBoost,0.5919,0.58249646
46,XGBoost,0.1955,0.14867517
47,XGBoost,0.4366,0.27768493
48,XGBoost,0.1824,0.13578784
49,XGBoost,0.3717,0.24814752
50,XGBoost,0.0313,0.15983988
51,XGBoost,-0.0219,0.017924612
52,XGBoost,0.0104,0.05019341
53,XGBoost,-0.032,-0.037219774
54,XGBoost,-0.0008,0.08596329
55,XGBoost,0.1056,0.15896496
56,XGBoost,0.9643,0.8544627
57,XGBoost,0.4371,0.4157285
58,XGBoost,0.4938,0.5231549
59,XGBoost,0.6281,0.41874424
60,XGBoost,0.2727,0.21135655
61,XGBoost,0.5963,0.5733987
62,XGBoost,0.4225,0.3743638
63,XGBoost,0.142,0.18245119
64,XGBoost,0.1854,0.21768883
65,XGBoost,0.0249,0.012220309
66,XGBoost,0.2698,0.09697419
67,XGBoost,0.4806,0.46388766
68,XGBoost,0.6473,0.74508643
69,XGBoost,0.0937,0.1254257
70,XGBoost,0.2429,0.18308248
71,XGBoost,0.1974,0.108792745
72,XGBoost,0.2327,0.26508287
73,XGBoost,0.0672,0.10907408
74,XGBoost,0.7554,0.6974632
75,XGBoost,0.4633,0.31178635
76,XGBoost,0.5518,0.5867878
77,XGBoost,0.2451,0.46161598
78,XGBoost,0.4036,0.24190493
79,XGBoost,0.2338,0.15888824
80,XGBoost,0.0979,0.07583744
81,XGBoost,0.1907,0.15180817
82,XGBoost,0.0072,-0.04481786
83,XGBoost,0.2432,0.250777
84,XGBoost,0.2318,0.0743932
85,XGBoost,-0.0746,0.006284682
86,XGBoost,0.4221,0.45287964
87,XGBoost,0.1755,0.15649885
88,XGBoost,0.2446,0.1690595
89,XGBoost,0.0904,0.16210447
90,XGBoost,0.0879,0.086595066
91,XGBoost,0.6955,0.7122369
92,XGBoost,0.0591,0.16067243
93,XGBoost,0.6959,0.69379556
94,XGBoost,-0.1278,-0.13781747
95,XGBoost,0.0624,0.09483837
96,XGBoost,0.0442,0.035964277
97,XGBoost,0.6297,0.5923202
98,XGBoost,0.2852,0.2814942
99,XGBoost,0.0936,0.07694211
100,XGBoost,0.0606,0.017511109
101,XGBoost,0.1987,0.22115773
102,XGBoost,0.09,0.032497812
103,XGBoost,0.2364,0.26551226
104,XGBoost,0.4779,0.38583192
105,XGBoost,0.1909,0.19190264
106,XGBoost,0.1822,0.22544113
