,SMILES,STG,max_sim,top5_sim,top10_sim,mean_sim,most_similar,model2_predvals,model4b_predvals,model6b_predvals
0,C1C=CC2C=CC3=CC=CC4C=CC=1C=4C=23,0.026,0.47058823529411764,0.44007059761703726,0.4191657335911273,0.09612939677229718,c1ccc2ccc3cccc3c2cc1,-0.070357285,0.31927726,0.36605182
1,C1C=CC2C=CC3=C(O)C=C(O)C4C=CC=1C=4C=23,0.007,0.3783783783783784,0.3717362817362817,0.3638442861649693,0.10199597671710332,N#Cc1c(N)cccc2ccc3c(N)cc(N)c3c12,0.19775036,0.41850638,0.44892058
2,C1C=CC2C=CC3=C(OC)C=C(OC)C4C=CC=1C=4C=23,0.011,0.34285714285714286,0.3353410553410553,0.3284846487556258,0.09656725532077536,Nc1ccc2ccc3cccc3c2c(N)c1,0.056809984,0.41217598,0.43477923
3,C1(O)C=C(O)C2C=CC3=C(O)C=C(O)C4C=CC=1C=4C=23,-0.003,0.2692307692307692,0.2486737400530504,0.23874547217706282,0.09200294601626852,Nc1ccc2c(N)c3c(N)cc(N)c3c(N)c2cc1,0.29268885,0.34764948,0.45248026
4,C1(OC)C=C(OC)C2C=CC3=C(OC)C=C(OC)C4C=CC=1C=4C=23,0.013,0.2413793103448276,0.22468715239154619,0.21653252450236846,0.0866819211378567,Nc1ccc2c(N)c3c(N)cc(N)c3c(N)c2cc1,0.2024008,0.38390574,0.44813582
5,C1C(C(F)(F)F)=CC2C=CC3=CC(C(F)(F)F)=CC4C=CC=1C=4C=23,0.017,0.26666666666666666,0.24928435458146833,0.2422892361142636,0.09207497068876604,Nc1ccccc2cc3ccc(N)c3c(N)c12,0.3021606,0.24231307,0.25316545
6,C1C=CC2C(C#N)=C(C#N)C3=CC=CC4C(C#N)=C(C#N)C=1C=4C=23,-0.002,0.6190476190476191,0.5753052503052503,0.5530429385429384,0.19388678333626277,N#Cc1c2cccccc2c(C#N)c2cccc12,-0.032111168,0.20313498,0.2944885
7,C1C=CC=C2C=CC=CC3C=CC=1C2=3,0.081,0.47058823529411764,0.4434358288770054,0.42171791443850265,0.09347508092624605,c1ccc2ccc3cccc3c2cc1,-0.023752725,0.24446727,0.3005374
8,C1C(C#N)=CC=C2C=CC(C#N)=CC3C=CC=1C2=3,0.048,0.6,0.5738375973303671,0.5529604653318502,0.18250692601211393,N#Cc1ccc(N)c2c(ccc3ccc(C#N)c32)c1,0.10414173,0.36299828,0.37181732
9,C1C=C(N)C=C2C=C(N)C=CC3C=CC=1C2=3,0.02,0.56,0.49422222222222223,0.4789426129426129,0.14729905283734598,Nc1ccc2ccc3cc(N)cc3c2c(N)c1,0.007561637,0.21443307,0.35723242
10,C1C=C(O)C=C2C=C(O)C=CC3C=CC=1C2=3,0.034,0.26666666666666666,0.2565591397849462,0.2532795698924731,0.09485658845151132,Nc1cc(N)cc2c(ccc3ccc(N)c32)c1,0.26543972,0.22544615,0.10882871
11,C1C=C(OC)C=C2C=C(OC)C=CC3C=CC=1C2=3,0.05,0.2647058823529412,0.2467944460080683,0.23950366558106495,0.08859149817320967,Nc1ccc2ccc3cc(N)nc3c2c(N)n1,0.20915966,0.25291324,0.10389754
12,C1(N)C=C(N)C=C2C=C(N)C=C(N)C3C=CC=1C2=3,0.009,0.68,0.6132486772486773,0.5786679894179894,0.15774768121324764,Nc1cc(N)c2ccc3cc(N)cc3c2c(N)c1,0.18463767,0.14308314,0.1582649
13,C1(O)C=C(O)C=C2C=C(O)C=C(O)C3C=CC=1C2=3,-0.026,0.2564102564102564,0.25384615384615383,0.24867653770092796,0.09646946995178333,N#Cc1c(N)cc2cc(N)c3ccc(N)c3c2c(C#N)c1N,0.5710824,0.1813777,0.10312669
14,C1=CC=C2C=C3C=CC=CC4=CC=CC(=C1)C2=C43,0.066,0.625,0.49116897595158465,0.4547836221749265,0.1060835858959881,c1ccc2cc3cccc3cc2cc1,-0.0005650148,0.17164296,0.17095259
15,C1=C(C(F)(F)F)C=C2C=C3C=C(C(F)(F)F)C=CC4=CC=CC(=C1)C2=C43,0.065,0.34615384615384615,0.3229185086943708,0.30834729988798243,0.08873613289698506,c1ccc2cc3cccc3cc2cc1,0.39616993,0.20383115,0.18566756
16,C1(N)=CC=C2C=C3C=CC(N)=CC4=CC(N)=CC(=C1)C2=C43,-0.009,0.5384615384615384,0.518062678062678,0.49110651023694507,0.14308674562864188,Nc1ccc2cc3ccc(N)c3c(N)c2c(N)c1,0.1041123,0.06712514,0.04565522
17,C1(O)=CC=C2C=C3C=CC(O)=CC4=CC(O)=CC(=C1)C2=C43,-0.016,0.3,0.2853083833728995,0.27540877289304333,0.09127753798200709,Nc1ccccc2cc3ccc(N)c3c(N)c12,0.32586482,0.090850756,0.049486127
18,C12=C3C=CC1=CC=C1C=CC=CC1=C2C=C3,0.205,0.631578947368421,0.5426636155606408,0.5090460934946062,0.09445114169427805,c1ccc2ccc3cccc3c2cc1,-0.039560206,0.41330117,0.34645104
19,C12=C3C=C(C(F)(F)F)C1=CC=C1C=CC=CC1=C2C(C(F)(F)F)=C3,0.024,0.40540540540540543,0.3742097360518413,0.36421931667075186,0.0891618225224375,Nc1cc(N)c2c1ccc1cccccc12,-0.06523725,0.11868796,0.09660295
20,C12=C3C(N)=CC1=CC=C1C=C(N)C=C(N)C1=C2C=C3N,0.067,0.5925925925925926,0.5525415070242656,0.5310117114788973,0.14659950774746375,Nc1cc(N)c2c(N)cc3cc(N)cc3c2c(N)c1,0.13134874,0.42696908,0.35330957
