SMILES,STG
C1C=CC2C=CC3=CC=CC4C=CC=1C=4C=23,0.026
C1C=CC2C=CC3=C(O)C=C(O)C4C=CC=1C=4C=23,0.007
C1C=CC2C=CC3=C(OC)C=C(OC)C4C=CC=1C=4C=23,0.011
C1(O)C=C(O)C2C=CC3=C(O)C=C(O)C4C=CC=1C=4C=23,-0.003
C1(OC)C=C(OC)C2C=CC3=C(OC)C=C(OC)C4C=CC=1C=4C=23,0.013
C1C(C(F)(F)F)=CC2C=CC3=CC(C(F)(F)F)=CC4C=CC=1C=4C=23,0.017
C1C=CC2C(C#N)=C(C#N)C3=CC=CC4C(C#N)=C(C#N)C=1C=4C=23,-0.002
C1C=CC=C2C=CC=CC3C=CC=1C2=3,0.081
C1C(C#N)=CC=C2C=CC(C#N)=CC3C=CC=1C2=3,0.048
C1C=C(N)C=C2C=C(N)C=CC3C=CC=1C2=3,0.020
C1C=C(O)C=C2C=C(O)C=CC3C=CC=1C2=3,0.034
C1C=C(OC)C=C2C=C(OC)C=CC3C=CC=1C2=3,0.050
C1(N)C=C(N)C=C2C=C(N)C=C(N)C3C=CC=1C2=3,0.009
C1(O)C=C(O)C=C2C=C(O)C=C(O)C3C=CC=1C2=3,-0.026
C1=CC=C2C=C3C=CC=CC4=CC=CC(=C1)C2=C43,0.066
C1=C(C(F)(F)F)C=C2C=C3C=C(C(F)(F)F)C=CC4=CC=CC(=C1)C2=C43,0.065
C1(N)=CC=C2C=C3C=CC(N)=CC4=CC(N)=CC(=C1)C2=C43,-0.009
C1(O)=CC=C2C=C3C=CC(O)=CC4=CC(O)=CC(=C1)C2=C43,-0.016
C12=C3C=CC1=CC=C1C=CC=CC1=C2C=C3,0.205
C12=C3C=C(C(F)(F)F)C1=CC=C1C=CC=CC1=C2C(C(F)(F)F)=C3,0.024
C12=C3C(N)=CC1=CC=C1C=C(N)C=C(N)C1=C2C=C3N,0.067
C12=C3C(O)=CC1=CC=C1C=C(O)C=C(O)C1=C2C=C3O,-0.002
C1C=CC2=CC3=CC=CC=C4C=C(C=1)C2=C43,-0.021
C1(C)C(C)=CC2=CC3=CC(C)=C(C)C=C4C=C(C=1)C2=C43,-0.029
C1C=CC2=C(C(F)(F)F)C3=CC=CC=C4C(C(F)(F)F)=C(C=1)C2=C43,-0.051
C1C=CC2=C(C#N)C3=CC=CC=C4C=C(C=1)C2=C43,-0.035
C1C=CC2=C(C#N)C3=CC=CC=C4C(C#N)=C(C=1)C2=C43,-0.063
C1C(C(F)(F)F)=CC2=CC3=CC(C(F)(F)F)=CC=C4C=C(C=1)C2=C43,-0.016
C1C=CC2=C(O)C3=CC=CC=C4C(O)=C(C=1)C2=C43,0.189
C1C=CC2=C(N)C3=CC=CC=C4C(N)=C(C=1)C2=C43,0.149
N1C2=NC=NC3=NC=NC(=NC=1)N23,-0.166
N1C2=NC(O)=NC3=NC(O)=NC(=NC=1O)N23,-0.256
N1C2=NC(OC)=NC3=NC(OC)=NC(=NC=1OC)N23,-0.233
N1C2=NC(N)=NC3=NC(N)=NC(=NC=1N)N23,-0.265
N1C2=NC(N(C)C)=NC3=NC(N(C)C)=NC(=NC=1N(C)C)N23,-0.241
N1=CN=C2N3C(=NC=N2)N=C(C(F)(F)F)N=C13,-0.149
N1=C(C#N)N=C2N3C(=NC(C#N)=N2)N=CN=C13,-0.114
N1=C(C#N)N=C2N3C(=NC(C#N)=N2)N=C(C#N)N=C13,-0.124
C1C=CC2=CC=CC3=CC=CC=1N23,-0.093
C1C(O)=CC2=CC(O)=CC3=CC=CC=1N23,-0.094
C1C(O)=CC2=CC(O)=CC3=CC(O)=CC=1N23,-0.171
C1C(N)=CC2=CC(N)=CC3=CC(N)=CC=1N23,-0.181
C1C(N(C)C)=CC2=CC(N(C)C)=CC3=CC(N(C)C)=CC=1N23,-0.159
C1(C(F)(F)F)C=CC2=CC=C(C(F)(F)F)C3=CC=CC=1N23,-0.095
C1C(C#N)=CC2=CC(C#N)=CC3=CC=CC=1N23,0.002
C1C(C#N)=CC2=CC(C#N)=CC3=CC(C#N)=CC=1N23,0.136
C1(O)C=CC2=CC=C(O)C3=CC=CC=1N23,0.197
C1(OC)C=CC2=CC=C(OC)C3=CC=CC=1N23,0.138
C1(N)C=CC2=CC=C(N)C3=CC=CC=1N23,0.133
N1C=NC2=NC=NC3=CC=CC=1N23,-0.068
N1C=NC2=NC=NC3=CC(O)=CC=1N23,-0.111
N1C=NC2=NC=NC3=CC(OC)=CC=1N23,-0.100
N1C=NC2=NC=NC3=CC(N)=CC=1N23,-0.086
N1C=NC2=NC=NC3=CC(N(C)C)=CC=1N23,-0.077
N1C(O)=NC2=NC(O)=NC3=CC(O)=CC=1N23,-0.085
N1C=NC2=NC=NC3=CC=C(C(F)(F)F)C=1N23,-0.087
N1C=NC2=NC=NC3=CC=C(C#N)C=1N23,-0.077
N1C=NC2=NC=NC3=C(C(F)(F)F)C=C(C(F)(F)F)C=1N23,-0.107
N1C=NC2=NC=NC3=C(C#N)C=C(C#N)C=1N23,-0.083
