,subset,mae,mse,rmse,R2
0,train,0.03511369228363037,0.0021321228705346584,0.04617491737008095,0.9605416059494019
1,train,0.038037482649087906,0.002325041452422738,0.048218682408332825,0.9571408629417419
2,train,0.024029623717069626,0.0010799991432577372,0.03286334127187729,0.980156421661377
3,train,0.028372062370181084,0.0014366010436788201,0.03790251910686493,0.9734212160110474
4,train,0.027809396386146545,0.0013905634405091405,0.03729026019573212,0.9744465947151184
5,train,0.024675637483596802,0.0011132616782560945,0.03336557745933533,0.9793881773948669
6,train,0.0292753204703331,0.0017310172552242875,0.041605494916439056,0.968143105506897
7,train,0.021595655009150505,0.0008845492266118526,0.029741372913122177,0.9836609363555908
8,train,0.041375890374183655,0.002823725575581193,0.05313874036073685,0.9479726552963257
9,train,0.028998278081417084,0.001478619291447103,0.03845281898975372,0.9728285670280457
10,train,0.022547513246536255,0.0009370247717015445,0.030610861256718636,0.9827123880386353
11,train,0.02883586287498474,0.0015950131928548217,0.039937615394592285,0.9707015752792358
12,train,0.0302346833050251,0.0015871820505708456,0.039839453995227814,0.9707592129707336
13,train,0.03397677466273308,0.0019002713961526752,0.04359210282564163,0.9648396968841553
14,train,0.026045670732855797,0.0011955539230257273,0.03457678481936455,0.9779459834098816
15,train,0.026605941355228424,0.0012945022899657488,0.035979192703962326,0.976180911064148
16,train,0.024453166872262955,0.0011043217964470387,0.03323133662343025,0.9796866774559021
17,train,0.026628436520695686,0.0013058295007795095,0.036136262118816376,0.975774347782135
18,train,0.025085968896746635,0.0011403363896533847,0.03376886621117592,0.9789764285087585
19,train,0.023366127163171768,0.0009937755530700088,0.031524207442998886,0.9817054867744446
20,train,0.026787376031279564,0.001451533637009561,0.03809899836778641,0.9732901453971863
21,train,0.020395148545503616,0.0007935247267596424,0.028169570490717888,0.985281765460968
22,train,0.037869151681661606,0.002608112758025527,0.05106968432664871,0.9519020915031433
23,train,0.024638034403324127,0.0011233252007514238,0.0335160456597805,0.9793453216552734
24,train,0.03781857714056969,0.002542911097407341,0.050427284091711044,0.9531764984130859
25,valid,0.0525607094168663,0.005728465970605612,0.07568663358688354,0.8959090709686279
26,valid,0.05393349751830101,0.005796568933874369,0.07613520324230194,0.893011212348938
27,valid,0.04657633230090141,0.0045743719674646854,0.06763410568237305,0.9144536852836609
28,valid,0.04771023988723755,0.004658578895032406,0.0682537853717804,0.9152617454528809
29,valid,0.04733734205365181,0.004723988939076662,0.06873127818107605,0.9116927981376648
30,valid,0.046430956572294235,0.004795033484697342,0.06924618035554886,0.9130245447158813
31,valid,0.04857474938035011,0.0050867279060184956,0.07132130116224289,0.9055032134056091
32,valid,0.044937990605831146,0.004414747469127178,0.0664435625076294,0.9191839694976807
33,valid,0.056598909199237823,0.006307538598775864,0.07942001521587372,0.8833281397819519
34,valid,0.048712052404880524,0.00486447149887681,0.06974576413631439,0.9090852737426758
35,valid,0.045540742576122284,0.004586401861160994,0.06772297620773315,0.9156418442726135
36,valid,0.048642419278621674,0.0051439860835671425,0.07172158360481262,0.903701663017273
37,valid,0.05032503232359886,0.005294034723192453,0.07276012003421783,0.9020704627037048
38,valid,0.05163438618183136,0.0055082738399505615,0.07421774417161942,0.8998377323150635
39,valid,0.04724767431616783,0.004676196724176407,0.06838272511959076,0.9139330387115479
40,valid,0.048738766461610794,0.00523802638053894,0.07237420976161957,0.9025775790214539
41,valid,0.04577942565083504,0.004584008827805519,0.06770531088113785,0.9146683812141418
42,valid,0.0484197661280632,0.005098423920571804,0.07140325009822845,0.9082097411155701
43,valid,0.046786680817604065,0.004715454299002886,0.0686691626906395,0.9130213260650635
44,valid,0.0472370907664299,0.005074904300272465,0.07123836129903793,0.9058367013931274
45,valid,0.04745187610387802,0.005380580667406321,0.07335244119167328,0.8999884128570557
46,valid,0.044492192566394806,0.004594846162945032,0.06778529286384583,0.9172358512878418
47,valid,0.05375302955508232,0.005924261175096035,0.0769692212343216,0.8908502459526062
48,valid,0.04583258926868439,0.004728250205516815,0.06876227259635925,0.9118434190750122
49,valid,0.05406523123383522,0.005840081721544266,0.07642042636871338,0.891738772392273
