,model,truevals,predvals
0,model_2,0.026,-0.070357285
1,model_2,0.007,0.19775036
2,model_2,0.011,0.056809984
3,model_2,-0.003,0.29268885
4,model_2,0.013,0.2024008
5,model_2,0.017,0.3021606
6,model_2,-0.002,-0.032111168
7,model_2,0.081,-0.023752725
8,model_2,0.048,0.10414173
9,model_2,0.02,0.007561637
10,model_2,0.034,0.26543972
11,model_2,0.05,0.20915966
12,model_2,0.009,0.18463767
13,model_2,-0.026,0.5710824
14,model_2,0.066,-0.0005650148
15,model_2,0.065,0.39616993
16,model_2,-0.009,0.1041123
17,model_2,-0.016,0.32586482
18,model_2,0.205,-0.039560206
19,model_2,0.024,-0.06523725
20,model_2,0.067,0.13134874
21,model_2,-0.002,0.44066572
22,model_2,-0.021,0.03059254
23,model_2,-0.029,0.13828757
24,model_2,-0.051,-0.063178435
25,model_2,-0.035,-0.04080195
26,model_2,-0.063,-0.11621669
27,model_2,-0.016,0.29990813
28,model_2,0.189,0.14992599
29,model_2,0.149,0.025204552
30,model_2,-0.166,0.5290738
31,model_2,-0.256,0.061879344
32,model_2,-0.233,0.2129797
33,model_2,-0.265,-0.061126195
34,model_2,-0.241,-0.019517126
35,model_2,-0.149,0.34097704
36,model_2,-0.114,0.49749234
37,model_2,-0.124,0.42499116
38,model_2,-0.093,-0.036879905
39,model_2,-0.094,0.22594209
40,model_2,-0.171,0.10249323
41,model_2,-0.181,0.47196627
42,model_2,-0.159,0.2166851
43,model_2,-0.095,-0.08099205
44,model_2,0.002,0.087122895
45,model_2,0.136,0.11418982
46,model_2,0.197,0.16694193
47,model_2,0.138,0.07782226
48,model_2,0.133,0.12999736
49,model_2,-0.068,0.9921152
50,model_2,-0.111,0.44367838
51,model_2,-0.1,0.5749031
52,model_2,-0.086,0.35176829
53,model_2,-0.077,0.47189096
54,model_2,-0.085,0.04015322
55,model_2,-0.087,0.79567796
56,model_2,-0.077,0.92530054
57,model_2,-0.107,0.41866705
58,model_2,-0.083,0.802322
