,model,truevals,predvals
0,model_4b,0.026,0.31927726
1,model_4b,0.007,0.41850638
2,model_4b,0.011,0.41217598
3,model_4b,-0.003,0.34764948
4,model_4b,0.013,0.38390574
5,model_4b,0.017,0.24231307
6,model_4b,-0.002,0.20313498
7,model_4b,0.081,0.24446727
8,model_4b,0.048,0.36299828
9,model_4b,0.02,0.21443307
10,model_4b,0.034,0.22544615
11,model_4b,0.05,0.25291324
12,model_4b,0.009,0.14308314
13,model_4b,-0.026,0.1813777
14,model_4b,0.066,0.17164296
15,model_4b,0.065,0.20383115
16,model_4b,-0.009,0.06712514
17,model_4b,-0.016,0.090850756
18,model_4b,0.205,0.41330117
19,model_4b,0.024,0.11868796
20,model_4b,0.067,0.42696908
21,model_4b,-0.002,0.41459566
22,model_4b,-0.021,0.16457987
23,model_4b,-0.029,0.07989036
24,model_4b,-0.051,0.09687807
25,model_4b,-0.035,0.15689735
26,model_4b,-0.063,0.010999992
27,model_4b,-0.016,0.1426262
28,model_4b,0.189,0.1634145
29,model_4b,0.149,0.15212281
30,model_4b,-0.166,-0.06816597
31,model_4b,-0.256,-0.07971692
32,model_4b,-0.233,-0.07193746
33,model_4b,-0.265,-0.07195347
34,model_4b,-0.241,-0.037126318
35,model_4b,-0.149,-0.088949434
36,model_4b,-0.114,-0.065605395
37,model_4b,-0.124,-0.05063737
38,model_4b,-0.093,0.47507235
39,model_4b,-0.094,0.32924807
40,model_4b,-0.171,0.00948036
41,model_4b,-0.181,-0.06951922
42,model_4b,-0.159,0.19874799
43,model_4b,-0.095,0.019835375
44,model_4b,0.002,0.47239715
45,model_4b,0.136,0.38895738
46,model_4b,0.197,0.40265238
47,model_4b,0.138,0.42661586
48,model_4b,0.133,0.41099206
49,model_4b,-0.068,-0.082809165
50,model_4b,-0.111,-0.08363939
51,model_4b,-0.1,-0.072266504
52,model_4b,-0.086,-0.057284445
53,model_4b,-0.077,-0.025033142
54,model_4b,-0.085,-0.10714232
55,model_4b,-0.087,0.02182106
56,model_4b,-0.077,0.047986835
57,model_4b,-0.107,-0.014705247
58,model_4b,-0.083,0.013116815
