,model,truevals,predvals
0,model_5,0.1742,0.18591681
1,model_5,0.3472,0.315866
2,model_5,0.2622,0.28301233
3,model_5,0.0902,0.15425332
4,model_5,0.2579,0.23852508
5,model_5,0.2599,0.2562811
6,model_5,0.0246,0.029026661
7,model_5,0.2669,0.27309602
8,model_5,0.1207,0.16914709
9,model_5,0.0055,0.05966243
10,model_5,0.5098,0.52849054
11,model_5,-0.012,0.06118418
12,model_5,0.7691,0.7942258
13,model_5,0.5229,0.53088117
14,model_5,0.3393,0.2964397
15,model_5,0.1309,0.082035236
16,model_5,0.172,0.16860808
17,model_5,0.0511,0.059831996
18,model_5,-0.0566,-0.045722313
19,model_5,0.6193,0.6161767
20,model_5,0.2788,0.24755369
21,model_5,0.3404,0.24933521
22,model_5,0.018,-0.014553532
23,model_5,0.109,0.07915139
24,model_5,0.5985,0.6258122
25,model_5,0.216,0.07092655
26,model_5,0.0461,-0.00015489431
27,model_5,0.4293,0.27215138
28,model_5,0.3765,0.41423506
29,model_5,0.7156,0.8280019
30,model_5,0.1617,0.15787767
31,model_5,0.0708,0.02228082
32,model_5,0.0481,0.07057091
33,model_5,0.452,0.42367458
34,model_5,-0.0023,0.010755375
35,model_5,0.5507,0.3359173
36,model_5,0.1282,0.10765448
37,model_5,0.082,0.07333377
38,model_5,0.4076,0.34178308
39,model_5,-0.0092,0.14855976
40,model_5,-0.1556,-0.15983304
41,model_5,0.7308,0.7720449
42,model_5,0.2341,0.19333726
43,model_5,0.679,0.6577255
44,model_5,0.2077,0.38860348
45,model_5,0.5919,0.5215182
46,model_5,0.1955,0.29111415
47,model_5,0.4366,0.41309986
48,model_5,0.1824,0.22380508
49,model_5,0.3717,0.36490914
50,model_5,0.0313,0.010751396
51,model_5,-0.0219,0.017606635
52,model_5,0.0104,0.072546154
53,model_5,-0.032,-0.0012022932
54,model_5,-0.0008,0.04637432
55,model_5,0.1056,0.03324785
56,model_5,0.9643,0.9043018
57,model_5,0.4371,0.31395787
58,model_5,0.4938,0.5082102
59,model_5,0.6281,0.532695
60,model_5,0.2727,0.25955486
61,model_5,0.5963,0.6550278
62,model_5,0.4225,0.44429353
63,model_5,0.142,0.18101357
64,model_5,0.1854,0.101519376
65,model_5,0.0249,0.0036576088
66,model_5,0.2698,0.1953683
67,model_5,0.4806,0.5158467
68,model_5,0.6473,0.7038809
69,model_5,0.0937,0.08472119
70,model_5,0.2429,0.2159336
71,model_5,0.1974,0.30790523
72,model_5,0.2327,0.22275044
73,model_5,0.0672,0.113022566
74,model_5,0.7554,0.75077826
75,model_5,0.4633,0.4279123
76,model_5,0.5518,0.5405298
77,model_5,0.2451,0.46979278
78,model_5,0.4036,0.36282793
79,model_5,0.2338,0.22166982
80,model_5,0.0979,0.017303966
81,model_5,0.1907,0.12037205
82,model_5,0.0072,0.071329944
83,model_5,0.2432,0.32405007
84,model_5,0.2318,0.3557871
85,model_5,-0.0746,-0.062153146
86,model_5,0.4221,0.39219597
87,model_5,0.1755,0.12795465
88,model_5,0.2446,0.20044138
89,model_5,0.0904,0.11500518
90,model_5,0.0879,0.083238676
91,model_5,0.6955,0.6887775
92,model_5,0.0591,0.15260129
93,model_5,0.6959,0.6635153
94,model_5,-0.1278,-0.08889398
95,model_5,0.0624,0.104439795
96,model_5,0.0442,-0.010636579
97,model_5,0.6297,0.6384416
98,model_5,0.2852,0.32516032
99,model_5,0.0936,0.02510861
100,model_5,0.0606,0.022971116
101,model_5,0.1987,0.18505956
102,model_5,0.09,0.11997419
103,model_5,0.2364,0.24990506
104,model_5,0.4779,0.46823183
105,model_5,0.1909,0.10738431
106,model_5,0.1822,0.10529326
107,model_5,0.69,0.67862254
108,model_5,0.2662,0.2834267
109,model_5,0.1372,0.16384767
110,model_5,0.1736,0.14229432
111,model_5,0.696,0.69050944
112,model_5,0.2744,0.28268516
113,model_5,0.1972,0.28155667
114,model_5,0.2457,0.27185318
115,model_5,0.1107,0.1039107
116,model_5,0.3896,0.1866995
117,model_5,0.2898,0.23577306
118,model_5,-0.0475,-0.0613664
119,model_5,-0.1115,-0.045381997
120,model_5,0.0938,0.123157404
121,model_5,0.1639,0.16395669
122,model_5,0.6244,0.5967197
123,model_5,0.2373,0.2610938
124,model_5,0.3146,0.3348863
125,model_5,0.2164,0.25975224
126,model_5,0.1153,0.061637163
127,model_5,0.2167,0.23807213
128,model_5,-0.0591,-0.0028268923
129,model_5,0.1402,0.19771425
130,model_5,0.1971,0.24943237
131,model_5,0.3754,0.41937858
132,model_5,0.3665,0.38711083
133,model_5,0.7798,0.7698709
134,model_5,0.3074,0.32662034
135,model_5,0.4226,0.41822606
136,model_5,0.0883,0.12788294
137,model_5,0.4308,0.3869078
138,model_5,0.3496,0.32892823
139,model_5,0.8872,0.8995304
140,model_5,0.0269,0.0035929396
141,model_5,0.0201,-0.029737636
142,model_5,0.0545,0.034578722
143,model_5,0.408,0.4222563
144,model_5,0.4498,0.44802338
145,model_5,0.5567,0.5939438
146,model_5,0.1679,0.19215183
147,model_5,0.3179,0.24076872
148,model_5,0.2809,0.2542908
149,model_5,0.0747,0.070615925
150,model_5,0.407,0.36633337
151,model_5,0.8929,0.83143693
152,model_5,0.2375,0.20333742
153,model_5,0.0772,0.09753737
154,model_5,-0.0934,-0.20683862
155,model_5,0.5798,0.61867386
156,model_5,0.0314,-0.0012521748
157,model_5,0.2242,0.22485682
158,model_5,0.0061,0.018005118
159,model_5,0.3947,0.28650087
160,model_5,0.0621,0.21821599
161,model_5,0.3024,0.22298619
162,model_5,-0.0431,-0.015076149
163,model_5,0.1099,0.06814587
164,model_5,0.1365,0.12037451
165,model_5,0.0725,0.07103101
166,model_5,-0.0899,-0.07582316
167,model_5,0.0829,0.1581803
168,model_5,0.1587,0.08106898
169,model_5,-0.1932,-0.16972418
170,model_5,0.3215,0.35849506
171,model_5,0.2174,0.24791522
172,model_5,0.1512,0.13525411
173,model_5,0.2669,0.29074115
174,model_5,0.8352,0.9077266
175,model_5,0.892,0.87671113
176,model_5,-0.0143,0.020426247
