,model,truevals,predvals
0,model_6b,0.1742,0.17603035
1,model_6b,0.3472,0.27809876
2,model_6b,0.2622,0.25012374
3,model_6b,0.0902,0.1340715
4,model_6b,0.2579,0.2665976
5,model_6b,0.2599,0.26290625
6,model_6b,0.0246,0.013143413
7,model_6b,0.2669,0.2854223
8,model_6b,0.1207,0.089942254
9,model_6b,0.0055,0.012588136
10,model_6b,0.5098,0.54909104
11,model_6b,-0.012,0.0066911206
12,model_6b,0.7691,0.7609017
13,model_6b,0.5229,0.49566117
14,model_6b,0.3393,0.34485134
15,model_6b,0.1309,0.042015463
16,model_6b,0.172,0.15346858
17,model_6b,0.0511,0.05647079
18,model_6b,-0.0566,-0.07235225
19,model_6b,0.6193,0.5922886
20,model_6b,0.2788,0.2618813
21,model_6b,0.3404,0.2422561
22,model_6b,0.018,0.030119564
23,model_6b,0.109,0.116710246
24,model_6b,0.5985,0.61848533
25,model_6b,0.216,0.10152518
26,model_6b,0.0461,0.02622481
27,model_6b,0.4293,0.21395403
28,model_6b,0.3765,0.31275713
29,model_6b,0.7156,0.76255333
30,model_6b,0.1617,0.1707446
31,model_6b,0.0708,-0.10565574
32,model_6b,0.0481,0.081113346
33,model_6b,0.452,0.45133197
34,model_6b,-0.0023,-0.00731986
35,model_6b,0.5507,0.370835
36,model_6b,0.1282,0.12015056
37,model_6b,0.082,0.018786795
38,model_6b,0.4076,0.39299676
39,model_6b,-0.0092,0.16359434
40,model_6b,-0.1556,-0.17673057
41,model_6b,0.7308,0.7984939
42,model_6b,0.2341,0.19862023
43,model_6b,0.679,0.5703008
44,model_6b,0.2077,0.46496618
45,model_6b,0.5919,0.54807884
46,model_6b,0.1955,0.2127552
47,model_6b,0.4366,0.34877935
48,model_6b,0.1824,0.21848482
49,model_6b,0.3717,0.3106977
50,model_6b,0.0313,0.031033587
51,model_6b,-0.0219,-0.05139502
52,model_6b,0.0104,-0.0122774765
53,model_6b,-0.032,-0.047358282
54,model_6b,-0.0008,0.017271504
55,model_6b,0.1056,-0.1128406
56,model_6b,0.9643,0.89950824
57,model_6b,0.4371,0.38615528
58,model_6b,0.4938,0.54063475
59,model_6b,0.6281,0.6103178
60,model_6b,0.2727,0.2710479
61,model_6b,0.5963,0.6025412
62,model_6b,0.4225,0.3946682
63,model_6b,0.142,0.18748565
64,model_6b,0.1854,0.22301519
65,model_6b,0.0249,0.014611028
66,model_6b,0.2698,0.19256544
67,model_6b,0.4806,0.53427714
68,model_6b,0.6473,0.6660328
69,model_6b,0.0937,0.14901409
70,model_6b,0.2429,0.23319897
71,model_6b,0.1974,0.1878823
72,model_6b,0.2327,0.23543543
73,model_6b,0.0672,0.062443685
74,model_6b,0.7554,0.73802674
75,model_6b,0.4633,0.42100415
76,model_6b,0.5518,0.56529254
77,model_6b,0.2451,0.45740405
78,model_6b,0.4036,0.38379368
79,model_6b,0.2338,0.17706987
80,model_6b,0.0979,0.06586212
81,model_6b,0.1907,0.22591904
82,model_6b,0.0072,0.053030647
83,model_6b,0.2432,0.18545748
84,model_6b,0.2318,0.19750926
85,model_6b,-0.0746,-0.048312835
86,model_6b,0.4221,0.448417
87,model_6b,0.1755,0.17723534
88,model_6b,0.2446,0.26570323
89,model_6b,0.0904,0.10929991
90,model_6b,0.0879,0.11888997
91,model_6b,0.6955,0.65270233
92,model_6b,0.0591,0.23045495
93,model_6b,0.6959,0.6755858
94,model_6b,-0.1278,-0.09620679
95,model_6b,0.0624,0.10163876
96,model_6b,0.0442,-0.0010472909
97,model_6b,0.6297,0.61404467
98,model_6b,0.2852,0.29412347
99,model_6b,0.0936,0.110888585
100,model_6b,0.0606,-0.0023614615
101,model_6b,0.1987,0.20783581
102,model_6b,0.09,0.09320464
103,model_6b,0.2364,0.21770161
104,model_6b,0.4779,0.49479023
105,model_6b,0.1909,0.113163635
106,model_6b,0.1822,0.15660912
107,model_6b,0.69,0.752629
108,model_6b,0.2662,0.24266759
109,model_6b,0.1372,0.16429946
110,model_6b,0.1736,0.15981194
111,model_6b,0.696,0.6835746
112,model_6b,0.2744,0.21596605
113,model_6b,0.1972,0.23195052
114,model_6b,0.2457,0.22483179
115,model_6b,0.1107,0.11029835
116,model_6b,0.3896,0.21799088
117,model_6b,0.2898,0.2950699
118,model_6b,-0.0475,-0.054455794
119,model_6b,-0.1115,-0.12224557
120,model_6b,0.0938,0.17401516
121,model_6b,0.1639,0.15306015
122,model_6b,0.6244,0.5885347
123,model_6b,0.2373,0.2414951
124,model_6b,0.3146,0.35770386
125,model_6b,0.2164,0.3446101
126,model_6b,0.1153,0.09808426
127,model_6b,0.2167,0.22711438
128,model_6b,-0.0591,-0.019822232
129,model_6b,0.1402,0.14371082
130,model_6b,0.1971,0.16750166
131,model_6b,0.3754,0.3712339
132,model_6b,0.3665,0.36609474
133,model_6b,0.7798,0.76548654
134,model_6b,0.3074,0.31368306
135,model_6b,0.4226,0.41817948
136,model_6b,0.0883,0.12107867
137,model_6b,0.4308,0.45155373
138,model_6b,0.3496,0.45618603
139,model_6b,0.8872,0.86764383
140,model_6b,0.0269,-0.0017588809
141,model_6b,0.0201,-0.048044004
142,model_6b,0.0545,0.036704816
143,model_6b,0.408,0.41192016
144,model_6b,0.4498,0.36738232
145,model_6b,0.5567,0.5972476
146,model_6b,0.1679,0.13548547
147,model_6b,0.3179,0.3309538
148,model_6b,0.2809,0.27641028
149,model_6b,0.0747,0.061851904
150,model_6b,0.407,0.4055233
151,model_6b,0.8929,0.8387624
152,model_6b,0.2375,0.23164284
153,model_6b,0.0772,0.13372956
154,model_6b,-0.0934,-0.17968264
155,model_6b,0.5798,0.5825249
156,model_6b,0.0314,0.029159855
157,model_6b,0.2242,0.21833366
158,model_6b,0.0061,0.026126713
159,model_6b,0.3947,0.34034413
160,model_6b,0.0621,0.20771465
161,model_6b,0.3024,0.2773917
162,model_6b,-0.0431,-0.057811625
163,model_6b,0.1099,0.045161672
164,model_6b,0.1365,0.15527909
165,model_6b,0.0725,0.07926513
166,model_6b,-0.0899,-0.06593884
