,subset,mae,mse,rmse,R2
0,train,0.03350660791212815,0.0022199085749762134,0.04711590575353734,0.9589169614873991
1,train,0.03326404690336721,0.0022117198837972992,0.04702892603278645,0.9592297956650186
2,train,0.03321616338354183,0.002209741771101953,0.04700789051959206,0.959398899950399
3,train,0.03389520197093357,0.0023040534596994356,0.04800055686863888,0.9573722984307844
4,train,0.033806078187403374,0.002291651281087401,0.04787119469041274,0.9578879138607062
5,train,0.032926276516212716,0.0021747817284523134,0.04663455509010795,0.9597343668021656
6,train,0.03365154585576227,0.0022756661080929387,0.047703942269931306,0.9581195938497836
7,train,0.0334587558738149,0.0022516588588293003,0.04745164758814282,0.9584082627708461
8,train,0.0338130370869433,0.0022700018124040566,0.04764453601835216,0.9581750423017156
9,train,0.0340727273494125,0.002316840434418525,0.0481335686856743,0.9574252083784611
10,train,0.03363872963666272,0.002266220075818112,0.04760483248387827,0.9581893885254809
11,train,0.033050844610036705,0.0021768411220368274,0.04665662999013996,0.9600141441313225
12,train,0.0333579765532223,0.0022334932238216717,0.04725984790307383,0.9588521814576527
13,train,0.033835818148795674,0.0022734257754335506,0.04768045485766207,0.9579353120351825
14,train,0.033701836197249015,0.0022773120036150016,0.04772119029964573,0.9579910775284057
15,train,0.03313597728567374,0.002178564731581914,0.04667509755299837,0.9599140160850699
16,train,0.03398942844843101,0.0023012789025123968,0.04797164686054041,0.9576693520870663
17,train,0.03319501433645801,0.0021997974673305318,0.04690199854303153,0.9591895484127004
18,train,0.03373384439657864,0.0022711580027215236,0.04765666797754039,0.9581282192726948
19,train,0.033038633817560975,0.0021970978709711024,0.0468732105895372,0.9595534253928666
20,train,0.033730310822195964,0.0022770955506856627,0.04771892235461382,0.958098893489489
21,train,0.03332808908128582,0.0022258574277344615,0.04717899350065092,0.9587149173600076
22,train,0.03385724963856359,0.0022894520648931963,0.047848219035750914,0.9577787298834405
23,train,0.03358236192516661,0.0022437247432525054,0.04736797170296091,0.9587444129153287
24,train,0.03342917707919914,0.0022334270474273043,0.04725914776450486,0.9588751208860131
25,valid,0.06228073625999367,0.007583774490057215,0.08708486946684375,0.8621965641226859
26,valid,0.06199707152169376,0.0074620952641952475,0.08638342007697569,0.8622701472690524
27,valid,0.062324538141360235,0.007467226206033259,0.08641311362306799,0.8603538222190903
28,valid,0.0628998983460265,0.0073586477604158694,0.08578256093411918,0.8661482588561182
29,valid,0.06195841562317186,0.0074311286475976235,0.0862039943830773,0.8610872615280069
30,valid,0.06193145225497803,0.007325286373156874,0.085587886836613,0.8671291537057986
31,valid,0.06271787471691846,0.007493921291542422,0.08656743782475268,0.8607844557537497
32,valid,0.0628036221977468,0.007595564221189161,0.08715253422126726,0.8609561419987741
33,valid,0.06224421152761602,0.007473999326910711,0.08645229509336759,0.8617519006341999
34,valid,0.061571965955322217,0.0072171369331557505,0.0849537340742345,0.865115065135387
35,valid,0.061860467757336154,0.007146358536679948,0.08453613746014155,0.8685563315918545
36,valid,0.06180210916155287,0.007184132432740483,0.08475926163399776,0.8655089835450995
37,valid,0.062198449466008644,0.007431918032708215,0.08620857284927187,0.8625236808211052
38,valid,0.06225655795958861,0.007599813739494067,0.08717691058700157,0.8618052038258553
39,valid,0.06254833230035756,0.007623620882237152,0.08731334882042466,0.8596847184495251
40,valid,0.06309493043702354,0.00786919582275411,0.0887084878844979,0.8536402306037133
41,valid,0.06194408532147924,0.00718791924327521,0.08478159731495515,0.8661964463025844
42,valid,0.06223983674725174,0.007470044543988227,0.08642941943567727,0.8655118868447631
43,valid,0.061955236741892454,0.00718510246353448,0.08476498371104946,0.8674675987956968
44,valid,0.061270969078137456,0.007244357348294122,0.08511379058821268,0.8655831967156652
45,valid,0.06230592383815435,0.007390486556514424,0.0859679391198511,0.8626292418748343
46,valid,0.06230178902014858,0.007514213224651939,0.08668456162807735,0.8646510482950411
47,valid,0.06371262482420564,0.0077124552138479775,0.08782058536498136,0.8579042041731412
48,valid,0.06159269957224188,0.00735512653817332,0.08576203436354178,0.8628662186707248
49,valid,0.06219655061855875,0.007287442061151157,0.08536651604201238,0.8649081864093073
